Term Number	Term Name	Similarity Score	Term Size
1	1	0	492
2	2	1.446	484
3	3	1.941	476
5	5	2.927	384
6	6	3.07	156
7	7	3.395	322
9	membrane trafficking, cell growth and stress responses I	4.177	238
10	10	2.337	139
11	membrane trafficking, cell growth and stress responses II	4.644	211
12	12	3.275	46
15	late secretory pathway / vacuolar membrane dynamics, cell growth and stress responses	5.1	139
16	16	4.018	80
17	17	3.356	102
18	vesicle trafficking, docking and fusion (especially golgi, some autophagy / vacuole), glucose sensing and response	4.871	73
19	cell proliferation (TOR, MAPK signaling and cell cycle machinery )	5.515	42
22	22	1.311	19
26	MAPK signaling and cell polarity	5.212	10
27	late secretory pathway (vesicle trafficking, docking and fusion)	5.301	24
28	28	1.415	22
29	29	1.463	18
30	autophagy inhibitors / nutrient sensing	5.752	5
31	31	3.638	4
33	HOPS/CORVET complexes and localization	5.943	12
34	34	1.469	12
35	core machinery of autophagy	5.703	17
36	36	1.4	9
37	cell cycle machinery	5.713	8
38	38	4.675	9
40	40	5.58	9
41	Msn2/4-mediated yeast stress response and regulation	5.11	10
42	42	3.514	7
43	43	4.04	8
44	TRAPP Complex	6.03	8
45	45	1.412	8
46	conserved oligomeric golgi (COG) complex	6.091	8
48	vacuolar trafficking genes, unknown subgroup	4.927	5
49	transcription factors, unknown relationship	4.598	4
50	50	2.375	8
52	HOPS complex	6.6	6
53	53	4.401	8
54	54	5.24	6
55	55	4.056	6
58	AAA ATPases and specificity factors	6.116	5
59	59	2.64	5
60	ARFs and ARF binding proteins	4.668	8
63	nucleosome acetyltransferase of H4 components and actin related proteins	5.173	5
64	64	5.095	5
65	65	4.056	5
66	66	3.798	5
68	vacuolar transporter chaperone complex	6.167	4
69	vacuolar docking and fusion	6.516	4
70	PI3P kinase complex II	6.359	4
72	calmodulin-binding motor transport	6.207	4
73	73	5.853	4
74	components of HOG sensing pathway	5.487	4
75	75	5.158	4
76	76	5.159	4
77	77	5.174	4
78	78	5.908	2
79	79	7.031	4
80	80	4.185	4
81	81	2.681	4
84	84	3.784	4
85	85	4.566	4
86	86	2.784	4
87	golgi recruitment of Arl1	5.953	3
88	actin-regulating kinase family	5.978	3
89	89	5.816	3
91	glycogen synthase kinase 3 homologs	5.661	3
92	92	3.93	3
94	94	3.743	3
95	95	3.99	3
