INT1	INT2	Co-expression	Genetic interactions	Protein-protein interactions	Domain co-occurrence	Genomic context	Phylogenetic similarity	Predicted from 3D structure	Conditional genetic interactions
YBR056W	GPM2	1.998	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	KKQ8	1.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	RTK1	2.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YBR287W	1.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YET2	1.942	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YIL055C	2.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YDL027C	1.706	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YDL057W	1.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	UGX2	2.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YGR130C	1.982	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YLR312C	1.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	YPL109C	1.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	UIP4	1.925	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	KIN82	1.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	MRK1	1.376	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	PRR2	1.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	IKS1	1.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	HAL5	1.448	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	PPM1	1.996	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	MBR1	2.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	ULA1	1.442	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	ARP2	1.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	AIM17	2.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	CRD1	1.678	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	MEF2	1.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	VPS15	1.733	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	PEP12	2.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	RAV1	1.804	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	ATG8	2.454	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YBR056W	ATG12	1.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000
