INT1	INT2	Co-expression	Genetic interactions	Protein-protein interactions (high-throughput)	Domain co-occurrence	Genomic context	Phylogenetic similarity	Predicted from 3D structure	Conditional genetic interactions	Co-citation	Protein-protein interactions (low-throughput)	Co-expression	Genetic interactions	Protein-protein interactions (high-throughput)	Domain co-occurrence	Genomic context	Phylogenetic similarity	Predicted from 3D structure	Conditional genetic interactions	Co-citation	Protein-protein interactions (low-throughput)
YBR056W	GPM2	0.798	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22745270	0	0	0	0	0	0	0	0	0
YBR056W	KKQ8	0.517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	RTK1	0.824	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	YBR287W	0.483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	YET2	0.763	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24170935	0	0	0	0	0	0	0	0	0
YBR056W	YIL055C	0.849	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26150418	0	0	0	0	0	0	0	0	0
YBR056W	YDL027C	0.581	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	YDL057W	0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18854817	0	0	0	0	0	0	0	0	0
YBR056W	UGX2	0.986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	YGR130C	0.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	YLR312C	0.319	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21348598	0	0	0	0	0	0	0	0	0
YBR056W	YPL109C	0.748	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20581845	0	0	0	0	0	0	0	0	0
YBR056W	UIP4	0.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
YBR056W	KIN82	0.170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17043222	0	0	0	0	0	0	0	0	0
YBR056W	MRK1	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15616569	0	0	0	0	0	0	0	0	0
YBR056W	PRR2	0.744	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	IKS1	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GSE30054	0	0	0	0	0	0	0	0	0
YBR056W	HAL5	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24073228	0	0	0	0	0	0	0	0	0
YBR056W	PPM1	0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24073228	0	0	0	0	0	0	0	0	0
YBR056W	MBR1	0.937	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22289124	0	0	0	0	0	0	0	0	0
